Header_Identifier,Date_Latest,Metadata_Identifier,Metadata_Identifier_Handle_ID,Metadata_Identifier_CMS_ID,Metadata_Identifier_Accession_ID,Metadata_Identifier_File_ID,URL
oai:rosetta.slv.vic.gov.au:IE20230722,2021-04-18T10:23:18Z,IE20230722,,,,FL20231842,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL20231842
oai:rosetta.slv.vic.gov.au:IE638822,2021-04-18T10:22:00Z,IE638822,,,,FL16505370,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16505370
oai:rosetta.slv.vic.gov.au:IE176888,2021-04-18T10:05:16Z,IE176888,,,,FL19954413,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15715557
oai:rosetta.slv.vic.gov.au:IE158450,2021-04-18T10:18:08Z,IE158450,,,,FL15963417,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15963417
oai:rosetta.slv.vic.gov.au:IE690207,2021-04-18T10:19:26Z,IE690207,,,,FL16000501,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16000501
oai:rosetta.slv.vic.gov.au:IE787667,2021-04-18T10:18:08Z,IE787667,,,,FL15524915,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15524915
oai:rosetta.slv.vic.gov.au:IE1313163,2021-04-18T10:19:26Z,IE1313163,,,,FL16266471,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16266471
